logging: reflekt: REFLEKT CONFIGURATION:
ENABLED: false
REFLEKT META FILES FROM LIBRARIES: []
OUTPUT DIRECTORY: src/main/kotlin-gen
TO SAVE METADATA: false
REFLEKT METADATA RELATIVE PATH: null
DEPENDENCY JARS: []
_____________________________________________

logging: reflekt: PROJECT FILE PATH: null
logging: reflekt: ReflektAnalysisExtension is starting...
logging: reflekt: reflektMetaFiles []
logging: reflekt: Library invokes: ReflektInvokes(objects={}, classes={}, functions={})
logging: reflekt: Library packages: []
logging: reflekt: Getting invokes from sources....
logging: reflekt: Start analyzing file Annotations.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Finish analyzing file Annotations.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Start analyzing file Classes.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression jetbrains is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression reflekt is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression test is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression ir is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Expression C1 is valid: false
logging: reflekt: Expression C1 is valid: false
logging: reflekt: Expression C1 is valid: false
logging: reflekt: Expression C2 is valid: false
logging: reflekt: Expression C2 is valid: false
logging: reflekt: Expression C2 is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Expression CInterface is valid: false
logging: reflekt: Finish analyzing file Classes.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Start analyzing file Functions.kt (package org.jetbrains.reflekt.test.ir)
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
logging: reflekt: Expression org is valid: false
